,mae,mae,rmse,rmse,r2,r2,mape,mape,training_time_sec,training_time_sec
split,test,validation,test,validation,test,validation,test,validation,test,validation
model_name,,,,,,,,,,
linear_regression,1.793972416204486,1.2952287771104187,2.1778681374134283,1.5966962023989073,0.593271292105872,0.3065784102986063,99.852282107843,34.90291066969235,0.0013351440429687,0.0013351440429687
lstm,1.4284565289270146,1.229842593022052,1.9280815058098115,1.6185777690680014,0.6812189898182069,0.2874424979685108,92.96359449609908,32.17449955608696,1.5052106380462646,1.5052106380462646
tcn,1.0961188284554508,1.2202865849193345,1.450038899621658,1.547769194461767,0.8196978228666736,0.3484238612461501,78.25973444419951,33.48468488727448,3.6687123775482178,3.6687123775482178
tcn_lstm_hybrid,1.505896071459716,1.2661784988113771,1.8962266884017207,1.6981406183791372,0.6916654624022631,0.2156677459392554,107.54143331134588,33.352908434014935,4.882465362548828,4.882465362548828
